Отметка времени,Страна,Город,Дата начала,Дата окончания,Планируемый бюджет,Стоимость билетов,Стоимость отеля,Траты на отдыхе,Общая оценка отпуска от 1 до 5,Итоговая стоимость отпуска,Отклонение итоговой стоимости от плана,Стоимость одного дня отпуска,Город (англ)
3/6/2024 18:21:30,Таиланд,Бангкок,3/8/2019,3/19/2019,"100,000.00","60,000.00","25,000.00","200,000.00",5.00,"285,000.00","185,000.00","23,750.00",Bangkok
3/6/2024 18:26:26,РФ,Геленджик,6/15/2019,6/29/2019,"80,000.00","16,000.00","3,500.00","70,000.00",3.00,"89,500.00","9,500.00","5,966.67",Helendzhik
3/6/2024 18:28:03,Шри-Ланка,Ахунгала,12/7/2020,12/18/2020,"200,000.00","95,000.00","36,000.00","130,000.00",5.00,"261,000.00","61,000.00","21,750.00",Akhungala
3/6/2024 18:29:57,Абхазия,Циндрипш,6/22/2023,7/5/2023,"150,000.00","20,000.00","38,000.00","64,000.00",4.00,"122,000.00","-28,000.00","8,714.29",Tsandripsh
3/6/2024 18:30:44,РФ,Шерегеш,2/23/2023,3/2/2023,"250,000.00","92,000.00","76,000.00","70,000.00",5.00,"238,000.00","-12,000.00","29,750.00",Sheregesh
3/6/2024 18:32:35,Таиланд,Пхукет,4/10/2020,4/24/2020,"180,000.00","95,000.00","48,000.00","110,000.00",5.00,"253,000.00","73,000.00","16,866.67",PhuKhet
3/6/2024 18:33:59,РФ,Санкт-Петербург,11/7/2023,11/11/2023,"35,000.00","15,000.00","5,000.00","20,000.00",3.00,"40,000.00","5,000.00","8,000.00",St Petersburg
3/6/2024 18:36:52,РФ,Санкт-Петербург,8/2/2019,8/9/2019,"50,000.00","7,000.00","21,000.00","25,000.00",4.00,"53,000.00","3,000.00","6,625.00",St Petersburg
3/6/2024 18:37:56,РФ,Санкт-Петербург,6/7/2020,6/14/2020,"45,000.00","12,000.00","24,000.00","30,000.00",3.00,"66,000.00","21,000.00","8,250.00",St Petersburg
3/6/2024 18:44:26,РФ,Коккорево,8/21/2023,8/25/2023,"25,000.00","14,000.00","7,000.00","20,000.00",4.00,"41,000.00","16,000.00","8,200.00",Kokkorevo