траты в позапрошлом месяце,траты в прошлом месяце,траты в текущем месяце,траты в следующем месяце
78451.00,158154.00,97854.00,85675.00
158154.00,97854.00,85675.00,123126.00
97854.00,85675.00,123126.00,128890.00
85675.00,123126.00,128890.00,69640.00
123126.00,128890.00,69640.00,0.00
128890.00,69640.00,0.00,93915.00
69640.00,0.00,93915.00,77289.00
0.00,93915.00,77289.00,104596.00
93915.00,77289.00,104596.00,460.00
77289.00,104596.00,460.00,137735.00
104596.00,460.00,137735.00,509205.00
460.00,137735.00,509205.00,97857.00
137735.00,509205.00,97857.00,125774.00
509205.00,97857.00,125774.00,43043.00